	zipcode	station_count	month_total (thousands)	population (thousands)	income (thousand)	taxi_records (thousands)
0	60601	1	3780.031	5.591	77.37400000000001	4270.191
1	60607	3	3220.92	15.552000000000008	40.97199999999999	1687.9189999999999
2	60608	6	3150.574000000001	92.47199999999997	28.026000000000025	31.898000000000003
3	60609	1	1089.224	79.46900000000001	25.704999999999988	4.213
4	60610	4	10108.463999999998	47.51299999999997	51.29400000000001	4860.152
5	60613	5	6012.424000000002	50.547999999999924	48.38099999999998	150.122
6	60614	3	6743.811	65.47399999999999	68.32400000000003	318.425
7	60615	2	611.304	45.096	31.571000000000016	75.919
8	60616	5	4658.977	47.07299999999999	30.625	55.583000000000006
9	60618	2	2332.1479999999997	98.14699999999998	41.35500000000001	115.38999999999999
10	60619	3	5981.415999999998	74.96300000000002	33.631	15.722999999999999
11	60621	4	3461.5949999999993	47.51399999999996	19.717999999999986	4.775
12	60623	5	1508.752	108.14400000000016	28.20299999999998	9.266000000000002
13	60624	5	2303.3810000000003	45.64699999999997	22.425999999999995	10.408
14	60625	5	4102.792000000001	91.35099999999997	40.08300000000004	81.74099999999999
15	60626	9	5988.336000000001	59.251000000000126	31.318000000000076	58.85
16	60629	1	2477.34	113.98399999999998	40.279	5.524
17	60630	1	1896.402	54.780999999999985	47.904999999999994	32.669
18	60631	1	844.8760000000001	28.831999999999997	55.316000000000024	12.121999999999996
19	60632	2	2475.183	87.577	37.40599999999998	4.6129999999999995
20	60636	1	301.89	51.451000000000015	27.726999999999993	2.9859999999999998
21	60637	2	441.99999999999994	57.089999999999996	23.228000000000005	18.208000000000002
22	60641	2	2051.3959999999997	73.82400000000003	42.18200000000001	20.341000000000005
23	60644	13	7152.649000000001	59.05900000000005	26.929999999999936	10.184
24	60645	2	539.885	44.197	41.437999999999995	58.896
25	60646	2	832.2930000000001	27.015999999999995	58.23199999999998	5.167
26	60647	3	5613.603999999998	98.7690000000001	35.28299999999999	53.101
27	60653	4	1702.2170000000003	34.501999999999974	14.205000000000005	21.991
28	60656	3	7019.250000000001	27.129000000000012	47.511999999999965	1216.416
29	60657	6	10827.269000000002	66.78900000000004	55.64699999999996	490.208
30	60660	4	5185.4760000000015	47.726000000000056	34.29299999999996	116.196
